AJ Schnack
Bill Tung
Billie Allen
Billie Burke
Billie Dove
Billie Mae Richards
Billie Whitelaw
Billy Barty
Billy Bletcher
Billy Bob Thornton
Billy Brown
Billy Burke
Billy Campbell
Billy Chow
Billy Connolly
Billy Crudup
Billy Crystal
Billy De Wolfe
Billy Dee Williams
Billy Green Bush
Billy House
Billy Jayne
Billy Joel
Billy Kay
Billy Kearns
Billy Lenhart
Billy Magnussen
Billy Mitchell
Billy Talbot
Billy West
Billy Zane
Bimbo Hart
Bin Li
Bin Shimada
Bin Won
Bin Wu
Bindu De Stoppani
Bing Crosby
Bing He
Birgit Doll
Birgit Minichmayr
Birgitta Pettersson
Birgitta Valberg
Birgitte Federspiel
Birgitte Larsen
Birol Ünel
Bitty Schram
Björk
Björn Granath
Björn Starrin
Black Flag
Blackie Dammett
Blair Brown
Blair Underwood
Blake Anderson
Blake Boyd
Blake Cooper
Blake Harrison
Blake Heron
Blake Lively
Blanca Guerra
Blanca Portillo
Blanchard Ryan
Blandine Lenoir
Blasphemer
Blayne Weaver
Blaze Berdahl
Blythe Danner
Bo Barrett
Bo Derek
Bo Hopkins
Bo Svenson
Bob Adcock
Bob Avian
Bob Babbitt
Bob Balaban
Bob Clayton
Bob Cowsill
Bob Dishy
Bob Dorian
Bob Dylan
Bob Elliott
Bob Geldof
Bob Greene
Bob Griffin
Bob Gunton
Bob Holt
Bob Hope
Bob Hoskins
Bob Janoff
Bob Marley
Bob Neuwirth
Bob Newhart
Bob Odenkirk
Bob Papenbrook
Bob Peterson
Bob Pittman
Bob Proctor
Bob Rafsky
Bob Robideau
Bob Stephenson
Bob Tracey
Bob Williamson
Bobalu
Bobb'e J. Thompson
Bobbi Page
Bobby Block
Bobby Boriello
Bobby Brown
Bobby Campo
Bobby Cannavale
Bobby Coleman
Bobby Di Cicco
Bobby Driscoll
Bobby Fite
Bobby Hatfield
Bobby Henrey
Bobby Moat
Bobby Moore
Bobcat Goldthwait
Bobette Audrey
Bodan Litnanski
Bodil Jørgensen
Bodil Kjer
Bodil Rosing
Bohumil Svarc
Bojana Novakovic
Bojesse Christopher
Bokeem Woodbine
Bolek Polívka
Bongkoj Khongmalai
Bonita Granville
Bonnie Bedelia
Bonnie Hunt
Bonnie Raines
Bonnie Somerville
Bonnie Stoll
Bono
Bonz Malone
Booboo Stewart
Boonsri Yindee
Boris Karloff
Boris Kodjoe
Boti Bliss
Bourvil
Bowlegged Lou
Boyd Gaines
Boyd Holbrook
Brad Beyer
Brad Davis
Brad Dexter
Brad Dourif
Brad Garrett
Brad Gorton
Brad Greenquist
Brad Hall
Brad Hunt
Brad Johnson
Brad Morris
Brad Pitt
Brad Renfro
Brad Rowe
Brad Vancour
Bradford Dillman
Bradley Cooper
Bradley Gregg
Bradley Pierce
Bradley Whitford
Brady Coleman
Brady Corbet
Brahim Hadjadj
Brandon Alter
Brandon De Wilde
Brandon Gerald Fuller
Brandon Hardesty
Brandon James Olson
Brandon Lee
Brandon McGibbon
Brandon Merrill
Brandon Quinn
Brandon Ratcliff
Brandon Routh
Brandon T. Jackson
Brandt Wille
Brandy Gold
Brandy Norwood
Branka Katic
Branko Djuric
Brawley Nolte
Bray Poor
Bre Blair
Brea Frazier
Breckin Meyer
Bree Olson
Bree Turner
Brenda Ballard
Brenda Blethyn
Brenda Fricker
Brenda Monte
Brenda Myers-Powell
Brenda Song
Brenda Vaccaro
Brenda de Banzie
Brendan Corbalis
Brendan Fehr
Brendan Fletcher
Brendan Fraser
Brendan Gleeson
Brendan Kerkvliet
Brendan Mackey
Brendan Meyer
Brendan Sexton III
Brenden Jefferson
Brendon Ryan Barrett
Breno Mello
Brent Baskin
Brent Briscoe
Brent Gorski
Brent Hinkley
Brent Spiner
Brent Wendell Williams
Brenton Thwaites
Bret 'Brook' Parker
Bret Harrison
Bret McKenzie
Brett Barsky
Brett Chukerman
Brett Cullen
Brett Halsey
Brett Harrelson
Brett Jacobsen
Brett Kelly
Brian Aherne
Brian Auger
Brian Backer
Brian Beattie
Brian Bedford
Brian Bell
Brian Benben
Brian Blessed
Brian Boland
Brian Bonsall
Brian Carmody
Brian Cox
Brian Deacon
Brian Dennehy
Brian Donlevy
Brian Dooley
Brian Downey
Brian Doyle-Murray
Brian Fisk
Brian Flanagan
Brian Geraghty
Brian Haley
Brian Hallisay
Brian Howe
Brian Keith
Brian Keith Allen
Brian Kerwin
Brian Krause
Brian Letscher
Brian Matthews
Brian McNamara
Brian Milligan
Brian Nolan
Brian O'Halloran
Brian O'Shaughnessy
Brian Petsos
Brian Posehn
Brian Sergent
Brian Tyler
Brian Unger
Brian Van Holt
Brian Webber
Brian White
Brian Wilson
Briana Evigan
Brid Brennan
Bridget Fonda
Bridget Moynahan
Bridgette Andersen
Bridgette Wilson-Sampras
Bridgit Mendler
Brie Larson
Brien McMahon
Brigid Erin Bates
Brigid Tierney
Brigitte Bardot
Brigitte Fossey
Brigitte Lin
Brigitte Mira
Brigitte Nielsen
Brina Palencia
Brion James
Brit Marling
Britney Spears
Britt Ekland
Britt Robertson
Brittain Frye
Brittany Boyd
Brittany Colonna
Brittany Daniel
Brittany Murphy
Brittany Snow
Brock Peters
Brock Pierce
Broderick Crawford
Bronson Dudley
Brontis Jodorowsky
Brook Williams
Brooke Adams
Brooke Alderson
Brooke Bloom
Brooke Bundy
Brooke Langton
Brooke Shields
Brooke Smith
Brooklyn Decker
Brooklynn Proulx
Brooks Benedict
Brooks Hyers
Brown Eyes
Bruce A. Young
Bruce Abbott
Bruce Allpress
Bruce Altman
Bruce Balden
Bruce Baum
Bruce Beatty
Bruce Benderson
Bruce Bennett
Bruce Boxleitner
Bruce Brown
Bruce Buchanan
Bruce Byron
Bruce Cabot
Bruce Campbell
Bruce Carlisle
Bruce D. Reed
Bruce Davison
Bruce Dern
Bruce Dobler
Bruce Greenwood
Bruce Kimmel
Bruce La Bruce
Bruce Lee
Bruce Lyons
Bruce MacDonald
Bruce Malmuth
Bruce McCulloch
Bruce McDonald
Bruce McFee
Bruce McGill
Bruce Payne
Bruce Perens
Bruce Ramsay
Bruce Reitherman
Bruce Robinson
Bruce Spence
Bruce Springsteen
Bruce Thomas
Bruce Willis
Bruce Yarnell
Brunella Bovo
Bruno Bichir
Bruno Campos
Bruno Cremer
Bruno Ganz
Bruno Garcia
Bruno Kirby
Bruno Lawrence
Bruno S.
Brutus Pedreira
Bryan Anthony
Bryan Barter
Bryan Batt
Bryan Brown
Bryan Callen
Bryan Cranston
Bryan Devendorf
Bryan Forbes
Bryan Gibson
Bryan Greenberg
Bryan Hearne
Bryan White
Bryant Davis
Bryce Dallas Howard
Bryce Dessner
Bryce Draper
Bryce Johnson
Bryce Lindemann
Bryn Apprill
Bryna Weiss
Brían F. O'Byrne
Bubba Smith
Buck Brannaman
Buck Henry
Buck Smith
Buck Taylor
Bud Abbott
Bud Cort
Bud Luckey
Bud Spencer
Buddhi Wickrama
Buddy Ebsen
Buddy Hackett
Bug Hall
Bulle Ogier
Bunshi Katsura Vi
Burak Yigit
Burgess Meredith
Burghart Klaußner
Burl Ives
Burt Kwouk
Burt Lancaster
Burt Pugach
Burt Reynolds
Burt Ward
Burt Young
Bussaro Sanruck
Buster Keaton
Butch Helemano
Butch Patrick
Buzz Kilman
Buzzy Linhart
Byron Mann
Byung-hun Lee
Bárbara Goenaga
Béatrice Bonifassi
Béatrice Dalle
Béatrice Romand
Bérénice Bejo
Börje Ahlstedt
C. Aubrey Smith
C. Thomas Howell
C.L. Batten
CCH Pounder
CJ Adams
Cab Calloway
Cab Calloway and His Cotton Club Orchestra
Caerthan Banks
Caio Almeida
Caio Junqueira
Caitlin Clarke
Caitlin Keats
Caitlin Wachs
Caitlyn Rund
Cal Bartlett
Cal Harberts
Caleb Brown
Caleb Deschanel
Caleb Landry Jones
Calen Johnson
Calista Flockhart
Callan McAuliffe
Callan Mulvey
Callie Thorne
Callum Keith Rennie
Callum Turner
Calvin Green
Calvin O. Butts III
Calvin Reeder
Cam Clarke
Cam Gigandet
Camané
Cameron Bancroft
Cameron Bright
Cameron Carter
Cameron Deane Stewart
Cameron Diaz
Cameron Dye
Cameron Finley
Cameron Mitchell
Cameron Richardson
Cameron Watson
Camilla Belle
Camilla Horn
Camilla Rutherford
Camilla Sparv
Camille Anderson
Camille Coduri
Camille Keaton
Camille Natta
Camille O'Sullivan
Campbell Brown
Campbell Ping He
Campbell Scott
Camryn Manheim
Candace Evanofski
Candace Hammer
Candace Hilligoss
Candace Hutson
Candela Fernández
Candela Peña
Candice Azzara
Candice Bergen
Candice King
Candice Merideth
Candy Candido
Candy Clark
Candy Lo
Cantinflas
Captain Batista
Captain Haggerty
Capucine
Cara Buono
Cara Delevingne
Cara Pifko
Cara Seymour
Caren Kaye
Carey Gibson
Carey Lowell
Carey Means
Carey Mulligan
Carey Perloff
Carice van Houten
Caridad de Laberdesque
Carina Lau
Caris Corfman
Carl Anderson
Carl Benton Reid
Carl Bernstein
Carl Bradshaw
Carl Brandt
Carl Bressler
Carl Ciarfalio
Carl Esmond
Carl Goetz
Carl Lee
Carl Lumbly
Carl McCall
Carl Miller
Carl Möhner
Carl Palmer
Carl Reiner
Carl Sagan
Carl Snell
Carl Weathers
Carla Bianco
Carla Dunlap
Carla Gallo
Carla Gugino
Carla Juri
Carla Marlier
Carla Oudin
Carla Quevedo
Carlin Glynn
Carlinhos Brown
Carlo Battisti
Carlo Buccirosso
Carlo Cecchi
Carlo Sabatini
Carlo Verdone
Carlos Aguilar
Carlos Alazraqui
Carlos Amezcua
Carlos Areces
Carlos Casagrande
Carlos Cruz
Carlos Echevarría
Carlos Gallardo
Carlos Gómez
Carlos López
Carlos Mencia
Carlos Montalbán
Carlos Padilla
Carlos Pratts
Carlos Weber
Carlos Zapata
Carlos do Carmo
Carlson Young
Carly Nahon
Carly Pope
Carly Schroeder
Carma Hinton
Carme Elias
Carmela Sazio
Carmelo Di Mazzarelli
Carmen Argenziano
Carmen Bifulco
Carmen Chaplin
Carmen Ejogo
Carmen Electra
Carmen Mathews
Carmen Maura
Carmen Molina
Carmen Pelaez
Carmilla Salvatorelli
Carmine Appice
Carol 'Do Do' Cheng
Carol Alexander
Carol Burnett
Carol Channing
Carol Dexter
Carol Florence
Carol Haney
Carol Kane
Carol Lynley
Carol Ohmart
Carol Robbins
Carola Neher
Carole Bouquet
Carole Cook
Carole Finn
Carole Laure
Carole Lombard
Carole Morison
Caroleen Feeney
Carolina Bang
Carolina Pelleritti
Caroline Aaron
Caroline Brazier
Caroline Dhavernas
Caroline Ducey
Caroline Goodall
Caroline Kava
Caroline Leuchter
Caroline Munro
Caroline Peters
Caroline Pressley
Caroline Rothwell
Caroline Semple
Caroline Williams
Caroll Spinney
Carollette Phillips
Carolyn Choa
Carolyn Farina
Carolyn Jones
Carolyn Marz
Carolyn Purdy-Gordon
Carolyn Saxon
Carrie Akre
Carrie Diamond
Carrie Dobro
Carrie Fisher
Carrie Henn
Carrie Lorraine
Carrie Mullan
Carrie Preston
Carrie Snodgress
Carrie-Anne Moss
Carroll Baker
Carroll O'Connor
Carré Otis
Carson Carr
Carter Cabassa
Carter Jenkins
Cary Elwes
Cary Grant
Cary-Hiroyuki Tagawa
Caryn Peterson
Casey Affleck
Casey Carlson
Casey Gooden
Casey Groves
Casey Siemaszko
Casey Stevens
Casper Van Dien
Cass Elliot
Cassandra Magrath
Cassandra Peterson
Cassandra Scerbo
Cassidy Gifford
Cassie Ventura
Catalina Sandino Moreno
Cate Blanchett
Catharine Bolz
Catherine Allégret
Catherine An
Catherine Bégin
Catherine Chevallier
Catherine Demongeot
Catherine Deneuve
Catherine Dent
Catherine Disher
Catherine Frot
Catherine Hicks
Catherine Keener
Catherine Kellner
Catherine Mary Stewart
Catherine McCormack
Catherine O'Hara
Catherine Oxenberg
Catherine Salée
Catherine Schell
Catherine Wilkening
Catherine Zeta-Jones
Cathleen Cordell
Cathryn Harrison
Cathryn de Prume
Cathy Bonner
Cathy Cavadini
Cathy Downs
Cathy Meils
Cathy Moriarty
Cathy O'Donnell
Cathy Rosier
Cathy Tsui
Cathy Tyson
Catinca Untaru
Catlin Adams
Cato Sandford
Catriona MacColl
Cayden Boyd
Cecelia Ann Birt
Cecil Kellaway
Cecil Parker
Cecilia Narova
Cecilia Pérez-Cervera
Cecilia Roth
Cecillia Stark
Cedric Hardwicke
Cedric the Entertainer
Celeste Holm
Celia Imrie
Celia Johnson
Cem Yilmaz
Cengiz Bozkurt
Cengiz Daner
Cerina Vincent
Cesar De Sutter
Cesar Romero
Ceyda Düvenci
Chace Crawford
Chad Allen
Chad Fifer
Chad Lindberg
Chad Michael Murray
Chad Morgan
Chad Power
Chad Webber
Chadwick Boseman
Chaim Jeraffi
Chaka Forman
Chanda Sharma
Chandler Canterbury
Chandra West
Chandra Wilson
Chaney Kley
Channing Tatum
Chantal Goya
Chantal Neuwirth
Chao Deng
Chao Li Chi
Chao-jung Chen
Charis Michelsen
Charlene Beck
Charlene Holt
Charlene Sashuk
Charles 'Bud' Tingwell
Charles 'Buddy' Rogers
Charles Adam
Charles Adams
Charles Adler
Charles Aidman
Charles Aznavour
Charles Baker
Charles Barkley
Charles Belcher
Charles Berling
Charles Bickford
Charles Boyer
Charles Braswell
Charles Braun
Charles Bronson
Charles Bukowski
Charles Cane
Charles Chaplin
Charles Cioffi
Charles Coburn
Charles Crumb
Charles Cyphers
Charles Dance
Charles Drake
Charles Durning
Charles Farrell
Charles Fleischer
Charles Gitonga Maina
Charles Gray
Charles Grodin
Charles Guardino
Charles Haid
Charles Hallahan
Charles Herbert
Charles Hill Mailes
Charles Kemper
Charles King
Charles Lamont
Charles Lanyer
Charles Lathalu Yunipingu
Charles Laughton
Charles Le Clainche
Charles Malik Whitfield
Charles Martin Smith
Charles McDevitt
Charles McGraw
Charles Napier
Charles Nelson Reilly
Charles Paton
Charles Rocket
Charles Ruggles
Charles S. Dutton
Charles Vanel
Charles Winninger
Charley Grapewin
Charli Barcena
Charlie Bluhdorn
Charlie Booty
Charlie Creed-Miles
Charlie David
Charlie Day
Charlie Hodge
Charlie Hunnam
Charlie Kerr
Charlie Korsmo
Charlie McCarthy
Charlie McDermott
Charlie Nelson
Charlie Ray
Charlie Rowe
Charlie Saxton
Charlie Schlatter
Charlie Sheen
Charlie Stratton
Charlie Tahan
Charlie Talbert
Charlie Watts
Charlie Yeung
Charlize Theron
Charlotte Ayanna
Charlotte Brittain
Charlotte Chatton
Charlotte Curley
Charlotte Eve Blythe
Charlotte Flyvholm
Charlotte Frogner
Charlotte Gainsbourg
Charlotte Greenwood
Charlotte Henry
Charlotte Kerr
Charlotte Le Bon
Charlotte Lewis
Charlotte Marshall-Fricker
Charlotte Miller
Charlotte Rampling
Charlotte Stewart
Charlotte Véry
Charlton Heston
Chase Ellison
Chase Williamson
Chase Wright Vanek
Chatchai Plengpanich
Chauncey Leopardi
Chavis Daniels
Chaya Cuénot
Chayanne
Chazz Dominguez
Chazz Palminteri
Cheech Marin
Chelcie Ross
Chelsea Bennett
Chelsea Field
Chemeeka Walker
Chen Chang
Chenoa Maxwell
Cher
Cherami Leigh
Cherie Chung
Cherie Lunghi
Cherise Boothe
Cherry Jones
Cheryl Chase
Cheryl Costa
Cheryl Hines
Cheryl Ladd
Cheryl Lawson
Cheryl Tiegs
Chester
Chete Lera
Chevy Chase
Chi McBride
Chi Muoi Lo
Chia Yung Liu
Chia-Hui Liu
Chia-Liang Liu
Chiara Mastroianni
Chibundu Orukwowu
Chick Ortega
Chico Buarque de Hollanda
Chico Marx
Chief Dan George
Chieko Baishô
Chieko Higashiyama
Chieko Matsubara
Chien-Lien Wu
Chiharu Niiyama
Chika Sakamoto
Chikage Awashima
Chill Wills
Ching Wan Lau
Chingmy Yau
Chintara Sukapatana
Chip Carter
Chip Zien
Chips Rafferty
Chishû Ryû
Chiwetel Ejiofor
Chizuru Ikewaki
Chloe Csengery
Chloe Webb
Chloë Grace Moretz
Chloë Sevigny
Chogyam Trungpa
Chopper Bernet
Chris Albrecht
Chris Ambrose
Chris Barrie
Chris Bauer
Chris Bell
Chris Berman
Chris Botti
Chris Brown
Chris Carlisle
Chris Carmack
Chris Christie
Chris Cooke
Chris Cooper
Chris Davis
Chris Diamantopoulos
Chris Doran
Chris Eastman
Chris Eigeman
Chris Elliott
Chris Evans
Chris Farley
Chris Ferreira
Chris Foss
Chris Furrh
Chris Gartin
Chris Graham
Chris Haywood
Chris Hemsworth
Chris Isaak
Chris Kattan
Chris Klein
Chris Krzykowski
Chris Langham
Chris Lemmon
Chris Lowell
Chris Makepeace
Chris Marquette
Chris Massoglia
Chris McNair
Chris Messina
Chris Miller
Chris Morris
Chris New
Chris Noth
Chris O'Donnell
Chris O'Dowd
Chris O'Neil
Chris Owen
Chris Palermo
Chris Parker
Chris Pedersen
Chris Penn
Chris Phillips
Chris Pine
Chris Pontius
Chris Pratt
Chris Riggi
Chris Robinson
Chris Rock
Chris Sanders
Chris Santos
Chris Sarandon
Chris Sharp
Chris Spencer
Chris Stack
Chris Stafford
Chris Strompolos
Chris Trousdale
Chris Tucker
Chris Walker
Chris Warren
Chris Weitz
Chris Wiggins
Chris Wylde
Chris Young
Chris Zylka
Christa Denton
Christa Lang
Christian Bale
Christian Baucher
Christian Berkel
Christian Borromeo
Christian Byers
Christian Camargo
Christian Campbell
Christian Clavier
Christian Cooke
Christian Durango
Christian Friedel
Christian Kahrmann
Christian Kane
Christian Maelen
Christian Oliver
Christian Päffgen
Christian Roberts
Christian Serratos
Christian Slater
Christian Stevens
Christian Stolte
Christian Ulmen
Christiane Amanpour
Christiane Noll
Christiane Paul
Christie Brinkley
Christie Clark
Christina Aguilera
Christina Applegate
Christina Becerra
Christina Brucato
Christina Cox
Christina Eleusiniotis
Christina Hendricks
Christina Jastrzembska
Christina Lindberg
Christina Milian
Christina Pickles
Christina Ricci
Christina Souza
Christina Storm
Christina Vidal
Christine Amor
Christine Anu
Christine Baranski
Christine Cavanaugh
Christine Dunford
Christine Dunham
Christine Ebersole
Christine Elise
Christine Forrest
Christine Hargreaves
Christine Kaufmann
Christine Lahti
Christine Noonan
Christine Taylor
Christine Tomlinson
Christine Woods
Christo Jivkov
Christoph Letkowski
Christoph Waltz
Christopher Abbott
Christopher Adamson
Christopher Atkins
Christopher Backus
Christopher Beiring
Christopher Benjamin
Christopher Bevins
Christopher Campbell
Christopher Carley
Christopher Cary
Christopher Castile
Christopher Collet
Christopher Connelly
Christopher Cowan
Christopher Curry
Christopher Daniel Barnes
Christopher Denham
Christopher Eccleston
Christopher Evan Welch
Christopher Fitzgerald
Christopher Fulford
Christopher George
Christopher Gora
Christopher Guard
Christopher Guest
Christopher Jones
Christopher Jordan Wallace
Christopher Judge
Christopher Kirby
Christopher Knights
Christopher Kovaleski
Christopher Lambert
Christopher Lawford
Christopher Lee
Christopher Lloyd
Christopher Martin
Christopher McDonald
Christopher Meloni
Christopher Mintz-Plasse
Christopher Morris
Christopher Murney
Christopher Nicholas Smith
Christopher Plummer
Christopher Reeve
Christopher Reid
Christopher Scott Cherot
Christopher Senyonjo
Christopher Shand
Christopher Shea
Christopher Shyer
Christopher Sommers
Christopher Soren Kelly
Christopher St. John
Christopher Stone
Christopher Walken
Christopher Wyllie
Christopher-Robin Street
Christos Stergioglou
Christy Chung
Christy Turlington
Chuck Berry
Chuck Bush
Chuck Connors
Chuck McCann
Chuck Norris
Chuck Pfarrer
Chuck Pfeiffer
Chuck Scarborough
Chuck Shamata
Chulpan Khamatova
Chunchuna Villafañe
Chung-Erh Lung
Chunibala Devi
Chus Pereiro
Chyler Leigh
Ché J. Avery
Ciaran Owens
Ciarán Hinds
Ciarán McMenamin
Ciccio Ingrassia
Cicely Tyson
Cillian Murphy
Cindy Baer
Cindy Cohn
Cindy Crawford
Cindy E. Brolsma
Cindy Manion
Cindy Morgan
Cindy Pickett
Cindy Shui Yu
Cindy Williams
Cinqué Lee
Cinzia Monreale
Claire Benito
Claire Bloom
Claire Cox
Claire Danes
Claire Du Brey
Claire Forlani
Claire Julien
Claire Keelan
Claire Maurier
Claire Rushbrook
Claire Skinner
Claire Sloma
Claire Trevor
Clancy Brown
Clara Bow
Clara Moraleda
Clara Pontoppidan
Clara Rockmore
Clara Wettergren
Clare Bullus
Clare Crowhurst
Clare Grogan
Clare Higgins
Clare Nono
Clarence Felder
Clarence Gilyard Jr.
Clarence Muse
Clarence Sponagle
Clarence Williams III
Clarissa Burt
Clark Brandon
Clark Duke
Clark Gable
Clark Gregg
Clark Howat
Claude Akins
Claude Bessey
Claude Earl Jones
Claude Jade
Claude Jarman Jr.
Claude Legault
Claude Lulé
Claude Maki
Claude Rains
Claudette Colbert
Claudette Sutherland
Claudia Cardinale
Claudia Christian
Claudia Drake
Claudia Ferri
Claudia Kaleem
Claudia Kim
Claudia Lee
Claudia McNeil
Claudia Stedelin
Claudie Blakley
Claudine Auger
Claudine Longet
Claudio Bigagli
Claudio Bisio
Claudio Brook
Claudio Santamaria
Claus Holm
Claus Nissen
Clayne Crawford
Clayton Allen
Clayton Rohner
Clayton Watson
Clea DuVall
Cleavant Derricks
Cleavon Little
Clelia Matania
Clemens Scheitz
Cleo King
Cliff Curtis
Cliff De Young
Cliff Gorman
Cliff Potts
Cliff Robertson
Cliff Saunders
Clifford Bañagale
Clifford Chapin
Clifton Collins Jr.
Clifton James
Clifton Powell
Clifton Webb
Clint Eastwood
Clint Howard
Clinton Leupp
Clive Owen
Clive Russell
Cloris Leachman
Clotilde Courau
Clu Gulager
Clyde Beatty
Clémence Poésy
Clément Harari
Cobe Williams
Cobie Smulders
Cody Burger
Cody Linley
Cody McMains
Colby French
Colby Trane
Cole Hauser
Cole Konis
Cole Sprouse
Coleen Gray
Colin Blakely
Colin Clemens
Colin Clive
Colin Egglesfield
Colin Farrell
Colin Firth
Colin Ford
Colin Friels
Colin Hanks
Colin Mothupi
Colin O'Donoghue
Colin Powell
Colin Quinn
Colleen Camp
Colleen Clinkenbeard
Colleen Dewhurst
Colleen Haskell
Colleen Rennison
Collin Bernsen
Collin Chou
Colloseo Schulzendorf
Colm Feore
Colm Meaney
Colton James
Columbus Short
Common
Compay Segundo
Con O'Neill
Conchata Ferrell
Conner Chapman
Conner Rayburn
Connie Britton
Connie Mason
Connie Nielsen
Connie Scott
Connie Young
Connor Paolo
Connor Price
Conor Donovan
Conrad Brooks
Conrad Janis
Conrad Kemp
Conrad Veidt
Conrad Vernon
Constance Bennett
Constance Cowley
Constance Cummings
Constance Jones
Constance Marie
Constance Shulman
Constance Towers
Consuelo De Haviland
Consuelo Gómez
Cooper Barnes
Cora Venus Lunny
Cora Witherspoon
Coral Browne
Corban Walker
Corbin Allred
Corbin Bernsen
Corey Block
Corey Burton
Corey Feldman
Corey Haim
Corey Hawkins
Corey Johnson
Corey Parker
Corey Stoll
Cori Gonzalez-Macuer
Corin Redgrave
Corine Blue
Corinna Everson
Corinna Harfouch
Corinne Bohrer
Corinne Calvet
Corinne Cléry
Cornel Wilde
Cornelia Froboess
Cornelia Otis Skinner
Corrine Brown
Cortney Palm
Cory Booker
Cory Crow
Cory Doctorow
Cory Fernandez
Cory Hardrict
Cory Hodges
Cosimo Rega
Costa Botes
Costas Mandylor
Courteney Cox
Courtney B. Vance
Courtney Barilla
Courtney Chase
Courtney Gains
Courtney Love
Courtney Taylor
Courtney Taylor Burness
Courtney Taylor-Taylor
Courtney Thorne-Smith
Craig Anthony Olejnik
Craig Archibald
Craig Berry
Craig Bierko
Craig Chester
Craig Fairbrass
Craig Ferguson
Craig Gellis
Craig Roberts
Craig Robinson
Craig S. Harper
Craig Sheffer
Craig Smith
Craig T. Nelson
Craig Van Hook
Craig Walker
Craig Ward
Craig Wasson
Craigus R. Johnson
Cree Summer
Cress Williams
Crispin Glover
Crissy Rock
Cristi Conaway
Cristian Valencia
Cristina Raines
Cristina Scaramuzza
Cristina Sánchez Pascual
Crystal Bernard
Crystal Reed
Csaba Czene
Csaba Pindroch
Csongor Kassai
Cuauhtemoc Rivas
Cuba Gooding Jr.
Cuifen Cao
Cullen Douglas
Cunayou
Curd Jürgens
Curt Bois
Curtis Armstrong
Curtis Benton
Curtis Cotton III
Curtis Gates
Cus D'Amato
Cy Carter
Cybill Shepherd
Cyd Charisse
Cylk Cozart
Cynda Williams
Cyndi Lauper
Cyndi Mayo Davis
Cynthia Adler
Cynthia Garris
Cynthia Gibb
Cynthia Leake
Cynthia Myers
Cynthia Nixon
Cynthia Preston
Cynthia Rhodes
Cynthia Rothrock
Cynthia Smith
Cynthia Stevenson
Cyrielle Clair
Cyril Collard
Cyril Cusack
Cyril Raffaelli
Cyril Ritchard
Cyril Roy
Cécile Breccia
Cécile De France
Céline Beugnot
Céline Sallette
D.B. Sweeney
D.C. Pierson
D.L. Hughley
D.R. Anderson
D.W. Moffett
DJ Flava
DJ Hurricane
DJ Qualls
DMX
Da Brat
Da-wit Lee
Dabney Coleman
Dado Jehan
Dae-han Ji
Daeg Faerch
Dafne Fernández
Dagmar Ebbesen
Dagmara Dominczyk
Daisuke Gôri
Daisuke Nakazama
Daisuke Ryû
Daisy Donovan
Dakota Blue Richards
Dakota Fanning
Dakota Goyo
Dakota Johnson
Dakota Sage Grant
Dal McKennon
Dale Davis
Dale Dickey
Dale Fuller
Dale Grand
Dale Midkiff
Dale Pavinski
Dale Reeves
Dalia Hernández
Dallas Blanchard
Dallas Roberts
Damaine Radcliff
Dame May Whitty
Damian Chapa
Damian Jewan Lee
Damian Lewis
Damian Young
Damian de Montemas
Damien Garvey
Damien Marzette
Damien Wayne Echols
Damita Jo Freeman
Damián Alcázar
Damián Canduci
Damon Martin
Damon Wayans
Damon Wayans Jr.
Dan Ai
Dan Aykroyd
Dan Bakkedahl
Dan Barrett
Dan Biggers
Dan Birnbaum
Dan Bucatinsky
Dan Burns
Dan Byrd
Dan Castellaneta
Dan Dailey
Dan DiMaggio
Dan Duryea
Dan Fauci
Dan Fogler
Dan Frazer
Dan Futterman
Dan Gerrity
Dan Grove
Dan Gunther
Dan Hanlon
Dan Harberts
Dan Hedaya
Dan Hicks
Dan Kearney
Dan Leis
Dan Lett
Dan Levy
Dan Mailley
Dan Mason
Dan Monahan
Dan Montgomery Jr.
Dan Moran
Dan O'Dowd
Dan O'Herlihy
Dan Rather
Dan Shor
Dan Stevens
Dan Wyllie
Dana Andrews
Dana Ashbrook
Dana Carvey
Dana Davis
Dana DeVestern
Dana Delany
Dana Fuchs
Dana Hill
Dana Ivey
Dana Moore
Dana Snyder
Dana Stubblefield
Dana Wheeler-Nicholson
Dana Wynter
Dana de Celis
Danai Gurira
Dandan Song
Dane A. Davis
Dane Cook
Dane DeHaan
Dani
Dania Abu-Rmaileh
Dania Ramirez
Daniel Alpert
Daniel Anderson
Daniel Arnaud
Daniel Auteuil
Daniel Baldwin
Daniel Beer
Daniel Benzali
Daniel Bernhardt
Daniel Boulanger
Daniel Brocklebank
Daniel Brühl
Daniel Buain
Daniel Caltagirone
Daniel Cauchy
Daniel Cerny
Daniel Chacón
Daniel Chilson
Daniel Craig
Daniel Day-Lewis
Daniel Duval
Daniel Emilfork
Daniel Farber
Daniel Freire
Daniel Gillies
Daniel Giménez Cacho
Daniel Gélin
Daniel Hansen
Daniel Hendler
Daniel Henney
Daniel Henshall
Daniel Hernandez Rodriguez
Daniel Hugh Kelly
Daniel Huttlestone
Daniel J. Travanti
Daniel Johnston
Daniel Letterle
Daniel Liu
Daniel London
Daniel MacPherson
Daniel Magon
Daniel Matmor
Daniel Mays
Daniel Okrent
Daniel Olbrychski
Daniel Percival
Daniel Pollock
Daniel Prévost
Daniel Radcliffe
Daniel Richter
Daniel Robinson
Daniel Roebuck
Daniel Sarky
Daniel Shalikar
Daniel Stern
